Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
2008,6,18,3,2111.0,2055,2308.0,2300,WN,242,N699SW,57.0,65.0,46.0,8.0,16.0,MDW,CLE,307,3.0,8.0,0,,0,,,,,
2008,6,4,3,1426.0,1410,1730.0,1728,XE,2380,N15980,124.0,138.0,108.0,2.0,16.0,IAH,AVL,834,4.0,12.0,0,,0,,,,,
2008,8,3,7,1143.0,1145,1501.0,1520,WN,1769,N464WN,138.0,155.0,125.0,-19.0,-2.0,MDW,TPA,997,4.0,9.0,0,,0,,,,,
2008,1,23,3,1141.0,1144,1323.0,1335,OO,3802,N465SW,102.0,111.0,79.0,-12.0,-3.0,SLC,FCA,532,4.0,19.0,0,,0,,,,,
2008,5,4,7,815.0,820,1243.0,1300,WN,399,N489WN,148.0,160.0,136.0,-17.0,-5.0,LAS,AUS,1090,4.0,8.0,0,,0,,,,,
2008,1,3,4,1349.0,1325,1640.0,1609,B6,834,N640JB,171.0,164.0,153.0,31.0,24.0,PBI,JFK,1028,5.0,13.0,0,,0,13.0,0.0,7.0,0.0,11.0
2008,3,31,1,1359.0,1400,1413.0,1415,WN,1589,N387SW,74.0,75.0,55.0,-2.0,-1.0,ABQ,PHX,328,5.0,14.0,0,,0,,,,,
2008,4,22,2,1815.0,1820,2057.0,2131,DL,617,N3765,342.0,371.0,302.0,-34.0,-5.0,JFK,LAS,2248,9.0,31.0,0,,0,,,,,
2008,3,4,2,626.0,630,820.0,830,WN,454,N633SW,174.0,180.0,164.0,-10.0,-4.0,MCO,MCI,1072,4.0,6.0,0,,0,,,,,
2008,10,6,1,1905.0,1907,24.0,37,UA,270,N421UA,199.0,210.0,177.0,-13.0,-2.0,DEN,PHL,1557,6.0,16.0,0,,0,,,,,
2008,11,16,7,2042.0,2000,35.0,2355,WN,3596,N325SW,173.0,175.0,146.0,40.0,42.0,MDW,FLL,1166,5.0,22.0,0,,0,40.0,0.0,0.0,0.0,0.0
2008,3,6,4,,1605,,1940,AA,484,,,155.0,,,,DFW,MIA,1121,,,1,B,0,,,,,
2008,12,23,2,1101.0,1050,1554.0,1535,FL,52,N316AT,233.0,225.0,218.0,19.0,11.0,BWI,SJU,1565,4.0,11.0,0,,0,11.0,0.0,8.0,0.0,0.0
2008,7,15,2,1348.0,1355,1522.0,1533,EV,4186,N722EV,94.0,98.0,69.0,-11.0,-7.0,ATL,PHF,508,4.0,21.0,0,,0,,,,,
